بسم الله الرحمن الرحیم	لـلٔريلقيلم
وما ذاك الا لأن الفقير ليس  له ولاية الطلب شرعا وليس الحق له  وانمـا هو	وما ذالك الا لأن القير ليس له ولاية الطلب شرعا وليس الحق له وأما هو
مصرف للحق الثابت المتعين لجهة الزكاة . قال شمس الأئمة فی المبسوط ولنا	 صرف لالحق النابت المتعين جهة الركاة. قل شس الأهة ف المبسوط ولنا
أنها عبادة لأ نهاأحدأر کان الدین لقوله علیهالسلام بنی الاسلام على خمس وعدمنها	أنما عبارة لأنم أحدأر كان الدين لقوله عليه السلام بنى الاسلام على خس وعدهنها
الزكاة والمقصود من أصل الدين العبادة ولذلك كانت من أركان الدين وذلك	الن كاة والمقصود من أصل الدين العباروة وللكت كانت م أكان الدين وذلك
لأنالمتصدق يجعلما له لله تعالى بصرفه الىالفقير ليكون له كفاية من الله قالالله	لأن المتصدتق يجعل ما له نله تعالى بصرفه الى الفقير ليكون له كفاية م اله قل اثٔه
تعالى ( ألم يعلموا أن الله هو يقبل التوبة عن عباده ويأخذ الصدقات ) وقال تعالى	تالى ا أم يهلهوا أن اله هو يقبل النوبة من عباده وئخذ الصدقلت )وقل نالى
( من ذا الذى يقرض اللهقرضاً حسناً ) ويجعل المال له خالصاً يكون عبادة خالصة	( من ذا الذى يقرض القٔقراً حاً) ويجل الال له خالماً يكون عبادة خالمة
ولهذا يحصلبه التطهير . وبهذا تبين أنه ليس فيه حق للعباد لأن الشركة تنافی	ولهذا يحصل به التطير. وبهدا قبين أنه لبس فيه حق لعباد لأن الشركة تنلق
معنى العبادة . هذه عبارته . وخلاصته أنه جعل الحق لله تعالى والدفع الى الفقير	مغى الهبادة . هذه عبارته. وخلاصته أنه جهل الق له تعالى والدفع الى لقير
يحصل الكفاية والخروج عنالعهدة به فكان الفقير مصرفا لاصاحبا للحق واذا	بحصل الكفاية وانلحروج عن العهدة به فكان الفقير ، صرفا لاصاحبا احق واذا
صحيحة من خصم شرعي وألا يكون الحكم على وجه الفتوى ولم يحصل المقصود	محيحة من خصم شرعي وألا يكون الحكم على وج الفتوى وم يحصل القصود
لم  يمكن الفقير صاحب الحق فالدعوى من جهته غير صحيحة . ومما يؤيد هـذا	لم يكن المقير ماحب الحق فالدعوى من جهته غير صحيحة . وما يو يد هذا
ماذ كره الزاهدى فی القنية وهو قل ومن يؤخر الزكاة ليس للفقير أن يطالبهولا	ان كره الراهدى ف القنية وهو قل ون بوخر الركاة ليس لقير أن يالب ولا
يأخذ ماله بغير علمه ويضمن بالأخذ . وذ کر أيضا مما يؤيد هـذا فی الفتاوى	يأخذ ماله بنير عله ويغمن بلاًخذ. وذ كرا أيض ا ما ي يد هذا في لفناوى
الكبرى للخاصى فقال ولو وجبت الزكاة على غنى وهو لا يؤديها لا يحل للفقير	الكبرى لخاهى فقال ولو وجبت الزححاة لى غفى وهو لا يؤيالايجل لقبا
به من رفع الخلاف لأن القاضىالمخالف يطلب الولى و يلزمه بأداء الزكاة الىالفقير .	به من رفع انلاف لأن القافى الحخاف يطالب الولى ويلزمه بٔاء الزكاة الى لفقجر.
والذى رأيته من القضاة الذين حكموا بسقوطها أنهـم كانوا يسلکون طريقا وهى	والذى راينه . القهلاة لين حكدوا بقوطهأمبم كاوا بسلكون طريقا وهى
أنه كان يحضر عند القاضى ولى اليتيم ومعه فقير فيدعى الفقير على ولى اليتيم أن	أنه كن يحضر عند القاضى ولى الينيم وسعه فقير فيدعى الفقير على ولى اليم ان
فی يده من مال اليتيم الفلاني كذا وأنه حال عليـه الحول وهو فقير ويطلب منه	ف يده ،ن مال الينبم الفلاني كذا وأنه حال عليه الحول وهو قبر وبجطلب منه
عشرة دراهم مثلا من الزكاة فيجيب الولى بأن المال فى  يدی وأن هـذا اليتيم لم	عشرة درام ،نلا ،سن الركة فيجيب الولى أن الال ف بدى وأن هذا البم م
يبلغ بعد وأن  الزكاة لاتجب عليه ويسأل من الحاكم الحكم بسقوطها عن اليتیم	يبلغ بجد ؤن الزكاة لانجب عليه وبسال من الحا كم الحكم بقوطا عن اليقبرر
مادامصغيرا لم يبلغ فيحكمالحاكم بذلك . وعندى أن هذهالدعوىليست بصحيحة	مادامصغيرا لم يبلع فيحكم لحاكم بذلك. وعندىأن هذهالدعوى ايست بصحيخة
من جهة العباد يمنع وجوب الزكـ ة وأما ز كـ ة السوائم فلأ نها يطالب بها من جهـة	من جة العباد ينع وجوب الز ة وأما ز كة الواثم فلأنما يطاب بها من جهة
السلطان عيناً كان أو ديناً ولهذا يستحلف اذا أنكر الحول أو أنكر كونه للتجارة	السلطان عينً ان أو وينا ولذا يستحلف الذا أنكر الحرل أو أنكر كرينه لتجارة
لو أراد الامام أن يأخذها بنفسه من غـير تهمة الترك من أربابها فليس له ذلك	لو أراد الأمأن يأنها بنفه ن فيرنهة الترلك من أرلبها قليس له ذك
لمـا فيه من مخالفة اجماع الصحابة . بيان ذلك اذا كان لرجل مائتا درهم فلم يؤد	لا فيه  مالفة اجقاع الصحابة.بيان ذال اذا كان لرجل مأتا درهم فلم يود
زكاتها سنتين فعليه للسنة الأولى وليس عليه للثانية شيء عند أصحابنا . قلت	زكتها سذنبين فعليه لسنة الأولى وليس عليه لثالية شى، عند أصحابنا. قلت
فتحرر لنا من هذا كله أن الفقير ليس له ولاية المطالبة وانمـا المطالبة  للامام في	فنحرر لنا ،ن هذا ككله ٔن القير ليس له ولاية المطالبة وافبا المالبة لاام في
الأموال الباطنة عند علمه بترك أداء الزكاة من أرباب الأموال . فاذاجاءالفقير	الأ،وال الباطنة عند عله بترك أداء الرو كاة ،ن أربلب الأ،وال . فاذاجاءالافقير
في هذه الصورة فطلب من ولى الصغير زكاة مال الصغير وادعى بذلك عنـد	في هذه المورة فطلب من ولى الصفير زكة مال الصغير وادى بذلك عن
القاضى فهذه الدعوىغير صحيحة لعدم الولاية له شرعاً  فبقى حكم القاضى المرتب	القاضى فهذده الدعوىغير صحيحة لدم الولاية له شراً فبق حكم القاضى الرتب
عليها فتوى وهو لا يرفع الخلاف . ولا يقال ان الفقير هو المستحق للزكاة فكان	عايها فتوى وهو لابرفع انلاف. ولا يقال ان الفقير هو المستحق لركاة فكان
طلبه طلب صاحب الحق لحقه فيقبل لأنا نقول الفقير مستحق بلاشك وما يلزم	طلبه طلب صاحب الحق حقه فيقبال لا ا نقول الفقير مستحق بلا شك وما يته
من الاستحقاق ولايةالمطالبة كما قلنا في مستحقى الوقف انه ليس لهم ولاية دعوى	من الاستحقاق ولايةالمالبة كما قلنا في مستحقى الوقف انه ليس م ولاية دعوى
وما أشبه ذلك فصار بمنزلة دیون العباد وأما زكـ ة مال التجارة فيطالب بها أيضاً	ومأشبه ذلك فصار بفزلة دويون العباد وأما ز كرة مال التجارة فيطالب بها أينً
في أموال الوقف ولا ولاية اجارة  ولا مزارعة وانمـا ذلك للقيم وان  كان الریع	في أ،وال الوقف رلا ولاية اجرة ولا عر ارعة وانما ذلك لقبم والن كان اليع
حقهم (2) ومما يدلنا على فساد هذه الدعوى وأن الفقير ليس له مطالبة في الزكاة	حقم () وهما يهدلنا على فساد هذه الدعوى وأن القير ليس له مطالبة في الزكاة
(1) فی نسخة من کان عليه زكاة فليؤد وليترك الخ . وفى أخری من کان عليه دين فليؤد	(1)  :سخة هن كان عليه ز كاة فليؤد وليقرل الح . و أخرى ات ان عليه دين فليؤد
و ليترك الخ (2) هذا هو المشهور الذى عليه الجمهور وقال بعضهم يجوز للموقوف عليه طلب	وليترك الح () هذا هو الت ور الدى عليه الج،ور رفال بعغ،م يجوز ادوارف عايه عالب
الحق وان لم يكن قيما كذا فى جامع الفصولين	المق وان لم يكن قيسا كذا نى باع النم واين
تقديراً لأن حق الأخذ للسلطان وكان يأخذ رسول الله صلی الله عليه وسلم وأبو	تقدبراً لأن حق لأنذ لالان وملن يأخذ رسول اله مصل اقه عليه وسلم وأو
بكر وعمر الى زمن عثمان رضى الله عنه فلما كثرت الأموال في زمانه وعلم أن في	بكر وعر ال زان انان رضى الا حنه فلما كينرت الأ،وال في زانه وعمأن في
تتبعها زيادة ضرر بأربابها رأى المصلحة فی أن يفوض الأداء الى أربابها باجمـاع	قتبعها زيادة ضرر بأربها رأى الماحة ف أن يفوض الأواء الى أربابها بجاعر
الصحابة رضى الله عنهم وصار أرباب الأموال كالوكلاء عنالامام ألاترى أنهقال	الصحاة رضى الن عنهم وصار أربلب الأمرال كاوكلا. عص الاملمألا نرى أنهقال
من کان عليه دينفليؤد وليزك فیما بقى من ماله (1) وهذا توكيل لأرباب الأموال	من كان عله دين فليود ولبزك فبا بقى من ءال(1) وهذدا تو كيل لأرلبب الأموال
باخراج الزكاة فلا يبطل حق الامام عن الأخذ ولهذا قال أصحابنا ان الامام اذا	بالخر اج الز كاة فلا يبطل حق الامام صن الأنذ ولهذا قال أصحابنا ان الامام اذا
علم أن أهل بلدة يتركون أداء الزكـ ة من الأموال الباطنة فانه يطالبهم بها لكن	علم أن أهل بلرة يتركون أداء الرك ة من الأه بال الباطكة فاه يلاب،م بهالكن
الدعوى من جهتهدعوى من جهة من له الولاية لذلكفتسمع أما من جهة غيره فلا	الدهوكه هن جبندوك من جهة ه له الولاية لنل قسهمح أما ه ن جهة غيره فلا
یمكن لانحصار الولاية فيه وفى نوابه . هذا آخر مااتفق لى من الكلام على تحرير	يتكن لانمعصار البلاية فيه وف نوابه . هذ ا آخر ،اتفق لى ،ن الكلام ل فهرر
بالطلاق  الا  المسمى  فی العقد خاصة وأما الزيادة بعد العقد فتسقط كلها بالطلاق	باطلاق الا السى ف العقد خاصة وأ،ا الزيدة بد المقد فقسقط كا بالمالاق
وهو قول أبى حنيفة ومحمد رضي  الله عنهما  وذ كر فى فتاوى قاضيخان قال رجل	وهو قول أي حنيفة ومعد ري القله :نها وذ كر ف فاوى قاضيخان قل رجل
طلق امرأته طلاقا رجعيا ثم راجعها وقال لها زدت فی مهرك لم يصح لأنها مجهولة .	طلق المرأنه طلاقا رجعيائم راجها وقل لها زدت ف مبرلك لم يصح لأمها جهولة.
ولو قال راجعتك بمهر  الف درهم  ان قبلت جاز و الا فلا لأ نهذه زيادة فى المهر	ولو قال راجعتك بمر الف درم ان قبلت جاز والا نلالأن هذه زيادة ف المر
تتوقف على قبولهـا . ولو تزوج امرأة  بالف درهم  ثم جدد  النكاح بالفى درهم	توقف لى ة)ولها . ولو زوج لرأة بالف درم نم جد الكاح بافى درم
اختلفوا فيـه ذكر خواهر زاده أن على قول أبى حنيفة ومحمد رحمهما الله لاتلزمه	اختلفو ا فيه ذكر خواهر زادهأن على قول أن حنيفة وعمعد رحها افه لاتلزه
الأ لفالثانية ومهرها ألفدرهم وعلى قول أبي یوسف يلزمه الألفالثانيةو بعضهم	الا ٔن النانية وبرها ألفدرهم وعلى قول ابي ومف يلزمه لألفنالناليقو بعضبمر
ذكر الخلاف على عكس هذا . ثم قال قاضیخان بعد هذا امرأة وهبت مهرها من	ذ كر انللاف على عك هذا .نٔم قال قضيخان بعد هذا لمراة وهبت هرها ،ت
زوجها ثم ان زوجها أقر بين يدي الشهود أن لها عليه كذا وكذا من المهر تكلموا	زوجهاثم ان زوجها أقر بين يدي الشث بود أن ها عليه كنذا و كذدا ء ن المرتكلوا
فيه قال أبو الليث يصح اقراره اذا قبلت ويحمل على أنه زاداها فى مهرهاوالزيادة	فيه قال أبو اليث بصح اقرلره اذا ة بلت ويحل على أنه زاداها ف سرهاوارزيدة
هذه المسألة  ومن فتح عليه بطريق أخرى فى  الدعوى فى هـذه المسألة  وتكون	عذه المسألة ومن فنح عليه بطريق أخرى ف الدوى ف هـذه المأة وتكون
في المهر بعد هبة المهر جائزة لكن لابد من القبول لأن الزيادة فى المهر لاتصحمن	في المر بعد هبة المبر جازة لكن لابد ،ن القبول لأن الزيلدة ف المر لاح من
غير قبول المرأة . وذكر في الفتاوى الظهيرية  المطلقة الرجعية اذا قال لها زوجها	فير قبول المرأة. وذ كر في الفتاوى الظيرية المطلقة الربية اذاقل لمازوجها
زدت في مهرك لم يصح  لأنهـا مجهولة ولو قال راجعتك بمهر الف درهم  ان	زدت في عبرلك لم يمح لأنما جعولة ولو قل راجعتك بمهر الف درم الن
صحيحة من جهة صاحب  الولاية شرعا  بعد أن يتأمل ماأثبته فى هذه الأسطر	صحيحة من جهة ماحب الولاية شرعا بعدأن ينأمل أنبته ف هذه الأسطر
وما بينته فى أمر دعوى الفقير فليثبته على الحاشية فانه فائدة جليلة	و،ا ينته ف أ،ردعوى الفةير فليبته على الحاشية فانه فايدة جليلة
مسألة	مسألقه
فی زيادة  المهر وتحرير كلام  الأصحاب فيها وما يشترط لصحتها - : ذكر	ف زيادة لمر ونحرير كلام الأمحاب فيها و.ا يشترط لمحنا ي: ذكر
فی البدائع قال  وتجوز الزيادة فى المهر اذا تراضيا بها والحط عنه اذا رضيت به .	ف ابدايع قال وتحوز الزيدة في المبر الذاتراضيا بها والحط ءنه اذارضيت به.
وذكر فی المبسوط تزوجها على مهر مسمى ثم زادها فى المهر بعد العقد ففى قول	وذكر فى البسوط تزوجبا على مسبر سىنم زادها ف امبر بعدالعقد فى قول
أبى يوسف الأول ينتصف الزيادة والأصل بالطلاق وفى قوله الآخر لا ينتصف	أبن وسمف الأول ين مصف الز يٕدة وا سل الاق وف قوله الآنخر لاينتمف
قبلت جاز والا فلالأ نه زيادة في المهر فيتوقف على قبولهـا وهل يشترط	ق لت جاز والا نلالأنه زيلدة في المبر فيتوقف دلى قبولـا وهل يشرط
القبول في المجلس الأصح أنه يشترط وذكر بقيـة ما نقلناه عن فتاوى قاضيخان	لفبول في الجل الأصح أنه يشترط وذكر بقية ،ا تقلناه عن فناوى قاضبخان
المهر بعد موت المرأة جائزة عند أبىحنيفة وقبول هذهالزيادة الى ورثتها وعندهما	المر بعد موت المرأة جأزة عند أبيحنيفة وقبول هالز يادة الى ورن اوعندها
لا يجوز . وفی فتاوى أبی الليث المرأة اذا وهبت مهرها من زوجها ثم ان الزوج	لا يجوز. وفق فتاوى أب اليك المرأة الذا وه ت مبرها ن زوجهانم ان الزوج
بعـد ذلك أشهد أن لها عليه كذا وكذا من المهر تكلموا فيه واختار الفقيه أبو	بمد ذلك أشبد أن لما يليه كذا وكذا .ن المبر نكد وا فيه واختلر القيه ٔبو
الليث أنه يجوز اقراره . وذكر حسام الأئمة فى طلاق واقعاته قول أبى الليث الا	ليث أنه يجوز اقراره . وذ كر حسام الأثنة فى طلاق واقعاته قول أب ليث الا
أنه شرط قـ ول المرأة ثم قال و انماشر طنا قبول المرأة لأن الزيادةفى المهر لاتصح	أنه شرط ة بول الرأة ٔم قل واناشر طنا قبيل الرأقلأن الريلدتف المبر لا نصح
الا بقبول المرأة ولم يذكر أنه هل يشترط القبول فى المجلس أم  يصح القبول	الا بقبول المرأة وم يد كر أنه هل يشترط انهبول ف الجلس أم يصح ان بجل
بعـد المجلس وقد کتبت فی الفصل الحادى عشر  من البيوع أن قـ ول الزيادة	بمد الجل وقد كتبت ف الفصل الحاى تشر  ن البيوع أن ة ول الزيدة
فی الثمنفى المجلس ولو لم يقبل حتى افترقا بطلت  فقياس ذلك أن تكون الزيادة	فى الشنف الجلس ولوم يقبل حتى افرفا بلت فقياس ذلك أن تكرن الز لدة
فى المهر  كذلك وهكذا ذكر فى فصول المهر من جمع التفاريق فقال واذا قبـل	ف الر كذلك ومكذدا ذ كر فى فصول المهر ن جقع النفاريق قال والذا ة بسل
يعنى النكاح من الايجابوالقبول فهو زيادة ان قبلت جازثم قال وروى فی المجلس .	ينفى النكاح ن الابجابوالق ولفبوزيلدة ان قبلت جازنم قل وروى ف الجلس.
بعبارته فلا نعيده . وذ كرفى البحر المحيط قال الزيادة فى المهر صحيحة حال قيام	بمبارته فلا نفيده . وذ كرف البر الحيط قل الرزيادة ف البر محيبة حال قيام
ثم ذكر  بعد هذا فی البحر المحيط أیضاً قال وتتأ كد الزيادة إما بالدخول بها	م ذ كر بعد هذ ا ف ابحر الحيا ايضاً قل وتنا كد الز يادة اما بلسنل بها
أو بالخلوة الصحيحة أو بموت أحدهما حتى لو وقعت الفرقة بينهما قبل وجودواحد	أو بللوة الصحيحة أو بعوت أحدها حى لو وقمت الفرقة بينها ق بل وجودواحد
من هذه الأشياء بطلت الزيادة وينتصف الأصل دون الزيادة هذه عبارة البحر	من هذه الأشياء بطلت الزيلدة وينتمف الأصل دون الزيدة هذه عبارة البح
المحيط . وذكر فى فتاوى الخاصى لو زاد فی مهرها بعد هبة المهر جازت الزياة اذا	الهبد .وذ كرف فنلرى المى لوذاد ف مرعا بد مبة الر جلت الزلاة لا
النكاح عند علمائنا الثلاثة خلافا لزفر والخلاففيه نظير الخلاففی الزيادةفي الثمن	النكاح عند دلماثنا الانة نلانا لزفر وانللاففيه نظاير الاففق الزيادةف انشمن
هكذا ذکره شمسالأئمة السرخسیفی شرحه. وفیالمنتقى عنأبی يوسفأنالزيادة	مكذ ا ذره شسر الأشة السرخسوف شرحه. وفالانتقىعنأب يوسفأنالز يادة
فی المهر جائزة عند أبى حنيفه وفى قول أبی يوسفلا يجوز وقبولالمرأةالزيادةفیالمهر	ف المر جائزة عند أبى حنيفه وفى قولأبى يوسفلايجوز وة بول الرأةالز يادقف المر
شرط صحة الزيادة : وفی فتاوى أبى الليث أن الزيادة فى المهر بعـد هبـة المهر	شرط صحة الزيلدة : وف فناوى أبي اليث أن الزيدة فى المر بعد هبة المبر
صحيحة وفى اكراه شيخ  الاسـلام أن الزيادة فى المهر بعد الفرقة باطلة وهكذا	محيحة وف اكراه شيخ الاسلام أن الزيادة ف المر بعد الفرقة بلطلة وهكذا
روی بشر عن أبی یوسف وصورة ما رواه بشر قال اذا طلق امرأته ثلاثاً قبل	روى بشر عن أجن ومف وعورة مارواه بشر قل الذا لق اراه تلاً قبسل
الدخول بها أو بعده ثم زادها فى المهر لم تصح الزيادة وفی القدورى ان الزيادة فی	الدرخول بها أو بعدهثم زاوها ف المبرلم تصح الزيلدة وفى القدورى ان الزيلدة ف
وكذالا يشترط بقاء المهر فى ذمة الزوج لصحة الزيادة بل تجوز وان كانتأبرأته	وكن الابشرط بقاه المر ف ذمة الزوج لصحة الزيادة بل جوز وان كان أبرأنه
أو وهبته له وكذا لايشترط قيام النكاح  حالة الزيادة على قول أبى حنيفة فيما	أو وهبته له وكذا لايشترط قبام النكاح حلة لزيادة على قول أب حنيفة فبا
عن الأمام فی الزيادة بعد الطلاق البائن شیء فيحملالجواب فيه على ما نقلعنه	ه الأمام ف الزيادة بعد الطلاق الباثن شىء فيحمل الجواب فيه عل ماقل عنه
فی الزيادة بعد موتها تخريجا لكل من الجوابين علىأصل الأمام وأصل أبىيوسف	ف الزيادة بد ونها خريجا لكل من لجوابين عل أصل الأمام وأصل أب يوسف
و كذا نقول لايشترط لصحةالزيادة بلوغ المرأة بل تصحاذا كانتصغيرةوالقبول	وكذا تقول لايشترط لصحقالز يادة بلوغ المرأة بل تصح اذا كانتصغيرقوالقبول
الى الولى كما فی سائر العقود ولأ نه تصرف فيه مصلحة للصغيرة فيصح اللهم الا	الى الولى كما ف ساثر القود ولأنه تصرف فيه مملحة لصغيرة فيصح الهم الا
أن يقال انه لاتصح الزيادة اذا كانتصغيرةلاتعقللأ ن شرطهاالقبولوالصغيرة	أن يقال انه لانصح الزيادة اذا كانت صنيرقلاتقا لأن شرطهالقبول والصغيرة
ليست من أهل القبول ولا يكون قبول الولى كافيا لمـا نقله صاحب البدائع فى	ليست من أعل القبول ولا يكون قبول الولى كافيا لا نقله صاحب البدايع ف
مسألة الكفالة للصغيرة . وصورة ماذ كرهفى الكفالة قالفیالذی يرجعالى المكفول	مألة الكفالة "صغيرة . وصورة ماذ كرهف الكينالة قالف الذى يرجع الى المكفول
له ومنها وهو تفريع على مذهبهما أن يكون عاقلا فلا يصح قبول المجنون والصبی	له ومنا وهو قفريع على مذهبها أن يكوين عاقلا فلا يصح قبول الجنون والصج
الذی لا يعقل لأ نهما ليسا منأهلالقبول ولا يجوز قبول وليهما عنهما لأ ن القبول	الفى لا يقل لأنها ليسا من أهل القبول وه يجبوز قبول وليها عنهمالأن القبول
يعتبر ممن وقع له الايجاب ومن وقع له الايجاب فليس من أهل القبول ومن قبل	يعتبر من وقمع له الايجباب ومن وقم له الايجاب فيس من أهل القبول ومن اقبل
ذكره القدورى عنه خلافا لهما . لكن القدورى ذكر صورة الموت فقال الزيادة	ذكره اقدورى عنه خلافا لما . لكن القدورى ذ كر صورة الموت فقال الزيادة
لم يقع الايجاب له فلا يعتبر قبوله . هذه عبارته . وهذا البحث موجود بعينه فی	لم يقع الايباب له فلا يعتبر قبوله . هذه عبار"ه . رهذدا البحث موجود بعينه ف
حق الزيادة فی مهر الصغيرة التیلاتعقل . والذیيظهر لى أنه سهو وقع منصاحب	حق الز يادة ف ءمر الصغيرة الیلانعقل. والذى يظر لى أنه سهو وفع منصاحب
البدائع فی الكفالة فلا يعتمدعليه لأ نه مخالفلأقوال أهل العلم وخصوصاً لمذهبنا	الداثم فى الكفالة فلا يتدعليه لأنه مخالفـلأقوال أهل العلم وخصوهاً لذهبنا
وقد تكلمنا عليه فی كتابنا ( الاختلافات الواقعة فی المصنفات ) فلا يلتفت الى	وقد تكانا علبه في كتابنا ا الانخنلافت الواتة ف المصنفات) فلا يلتفت ال
فی المهر  بعد موت المرأة جائزة عند أبی حنيفة وقبول هـذه الزيادة الى ورثتها	ل المبر بعد موت المرأة جاثرزة عند أيى حنيفة وقبول هذه الزيادة الى ورنها
وعندهما لا تجوز ولم يذكر الزيادة بعد الطلاق البائن وانقضاء العدة فى الرجعى	وعددهالا نبوز ولم يذ كر الريادة بعد الطلاق البأن وانقضا العدة ف الجى
والظاهر أنه يجوز عنده أیضاً قياسا علیحالة الموت بل بالطريقالأ ولىلأنبالموت	والظاهر أنه يجبوز عندهأيضاً قياسا على حلةه الموت بل بالطريق الأولى لأن بالوت
انقطع النكاح وفاته محل التمليك وبعد الطلاق المحل قابل وقد ثبت لنا ذلك عنه	انقطلع النكاح وقانه محل الليك وبعد الطلاق الحل قابل وقد ثبت لنا ذلك عنه
فی الموت ففی الطلاق أولى . وما ذ كره فی البحر المحيط عن أبی يوسف من	ف الموت فنى الطلاق أولى . وما ذ كره في البحر الحيط عن أج يوسف من
رواية بشر عنه يحمل على أنه قول أبی يوسف وحده لاعلى قول أبىحنيفة لأن	رواية بشر عنه يجدل على أنه قول أب يوسف وحده لاعلى قول أن حنيفة لأن
أبا يوسف خالفه فی الزيادة بعد موت المرأة فيكون قد مشى على أصله ولم ينقل	أا يوسف خالفه ف الزيادة بعد موت المرأة فيكون قد مشى على أصله ولم ينقل
بالتزويج وعلى قول زفر يستويان . ثم أولى الأولياء في الصغيرة أبوها ثم الجـد	باتزذويج وعلى قول زفز يستويان .نم أول الأولياء في المصنيرة أوها نم الجلد
أبو الأب بعده وهو قائم مقامه في ظاهر الرواية ثم بعد الأجداد من قبل  الآباء	أبو الأب بده وهو قأم مقاله في ظاهر الواية ثم بد الأجهداد من فقبل الابل.
